nation,eez_fkin,invest_level,best_OAE_pathway,opt_MRV_share,OAE_verified_tCO2_per_$1M,exempt_baseline_per_$1M,OAE_vs_exempt
Guyana,0.83,0,Mineral,0.31,3120.0,6784.0,0.46
Barbados,0.83,0,Mineral,0.31,3073.0,6863.0,0.45
Uruguay,0.8,0,Mineral,0.31,2924.0,6911.0,0.42
Equatorial Guinea,0.77,0,Mineral,0.31,2856.0,6957.0,0.41
Nigeria,0.76,0,Mineral,0.31,2820.0,6851.0,0.41
Ghana,0.74,0,Mineral,0.31,2733.0,6760.0,0.4
Angola,0.73,0,Mineral,0.31,2696.0,6839.0,0.39
Spain,0.7,0,Mineral,0.31,2626.0,7004.0,0.37
Canada,0.71,2,Mineral,0.31,2603.0,6756.0,0.39
Argentina,0.7,0,Mineral,0.31,2593.0,6939.0,0.37
Ireland,0.69,0,Mineral,0.31,2593.0,6961.0,0.37
Ivory Coast,0.7,0,Mineral,0.31,2586.0,6929.0,0.37
United Kingdom,0.69,2,Mineral,0.31,2580.0,6759.0,0.38
Namibia,0.69,0,Mineral,0.31,2563.0,6787.0,0.38
Norway,0.68,2,Mineral,0.31,2544.0,6821.0,0.37
Netherlands,0.68,2,Mineral,0.31,2535.0,6811.0,0.37
Germany,0.68,0,Mineral,0.31,2515.0,6923.0,0.36
Guinea-Bissau,0.66,0,Mineral,0.31,2489.0,6831.0,0.36
Cape Verde,0.67,0,Mineral,0.31,2470.0,6814.0,0.36
France,0.66,0,Mineral,0.31,2466.0,6778.0,0.36
Iceland,0.66,1,Mineral,0.31,2424.0,6813.0,0.36
Denmark,0.66,0,Mineral,0.31,2403.0,6778.0,0.35
Guinea,0.65,0,Mineral,0.31,2395.0,6817.0,0.35
Madagascar,0.64,0,Mineral,0.31,2394.0,6822.0,0.35
Liberia,0.66,0,Mineral,0.31,2373.0,6854.0,0.35
Portugal,0.63,0,Mineral,0.31,2372.0,6847.0,0.35
Brazil,0.63,1,Mineral,0.31,2351.0,6975.0,0.34
Seychelles,0.64,0,Mineral,0.31,2350.0,6860.0,0.34
United States,0.62,2,Mineral,0.31,2331.0,6837.0,0.34
Sierra Leone,0.63,0,Mineral,0.31,2286.0,6897.0,0.33
Sweden,0.61,0,Mineral,0.31,2276.0,6940.0,0.33
Dominican Republic,0.62,0,Mineral,0.31,2274.0,6750.0,0.34
Comores,0.6,0,Mineral,0.31,2208.0,7060.0,0.31
South Africa,0.59,0,Mineral,0.31,2179.0,6752.0,0.32
Venezuela,0.59,0,Mineral,0.31,2176.0,6839.0,0.32
Mozambique,0.55,0,Mineral,0.31,2013.0,6853.0,0.29
Finland,0.55,0,Mineral,0.31,2009.0,6898.0,0.29
Republic of Mauritius,0.53,0,Mineral,0.31,1908.0,6909.0,0.28
India,0.49,1,Mineral,0.31,1805.0,6786.0,0.27
Maldives,0.46,0,Mineral,0.31,1701.0,6786.0,0.25
Chile,0.32,2,Mineral,0.31,1204.0,6776.0,0.18
